,Unnamed: 0,Weight,Coffee,Process,Score,Profile,Bags,Price
0,0,59,"Brazil 1st Place Forca Cafe Pulped Natural - Elias Morais Goncalves, Matas de Minas",pulped natural,87.0,"raspberry,tea,flowers, macadamia nuts",11,35.83
1,1,59,"Brazil 2nd Place Forca Cafe Natural - Jose Nelson Pereira, Matas de Minas",natural,86.5,"raspberry jam,peach,hazelnut",14,38.21
2,2,59,"Brazil 4th Place Forca Cafe Microlot - Josiane Borges da Silva, Circuito das Aguas",natural,87.0,"blackberry,wild strawberry, grilled pineapple,chocolate",6,36.3
3,3,59,"Brazil 5th Place Forca Cafe Microlot - Daniel Magalhaes dos Santos, Circuito das Aguas",natural,85.0,"stone fruits, peanut butter, brown sugar",7,34.42
4,4,59,"Brazil 6th Place Forca Cafe Microlot - Ademir Francisco Pereira, Circuito das Aguas",natural,84.75,"pear, biscuits, chocolate",7,33.47
5,5,20,Brazil DECAF CO2 [20kg box],decaf,,,1,40.61
6,6,60,Brazil DECAF CO2,decaf,,,7,36.34
7,7,59,"Brazil Fazenda Dona Nenem, Yellow  Bourbon, Scr. 16 up, in GrainPro",pulped natural,83.5,"pomelo, walnut, chocolate",53,26.73
8,8,59,Brazil Fazenda Irmas Pereira scr. 15 up Yellow Bourbon double fermented,double fermente,87.5,"plum, papaya, almond, chocolate",1,37.14
9,9,59,Brazil Fazenda Monte Belo NY2/3 Scr.16up,natural,,,58,29.75
10,10,59,"Brazil Fazenda Pedra Grande pulped natural Yellow Bourbon Scr. 15 up, in GrainPro",pulped natural,83.0,"plum, walnut, dark chocolate",47,24.76
11,11,59,"Brazil Fazenda Rainha, Yellow  Bourbon, pulped Natural, Scr.16 up, in videplast",pulped natural,83.0,"yellow plum, almond, cocoa",471,29.09
12,12,59,"Brazil Fazenda Sertão scr. 16up Yellow Bourbon, in GrainPro",natural,84.0,"blueberry, apricot, chocolate",241,27.39
13,13,59,Brazil Forca Cafe AMANTINO DO CARMO DUTRA GONÇALVES NETO Casa da Crianca,pulped natural,84.75,"pomelo, blueberry, biscuits",10,27.75
14,14,59,Brazil Forca Cafe ELIAS MORAIS GONÇALVES Casa da Crianca,pulped natural,84.5,"grapes, walnut, cinnamon",13,27.32
15,15,59,Brazil Forca Cafe ELIESER CARMELITO DA SILVA Casa da Crianca,natural,85.5,"blackberry, maple syrup, cardamom",14,29.88
16,16,59,Brazil Forca Cafe JOSÉ RESENDE DE OLIVEIRA Casa da Crianca,natural,84.25,"red apple, walnut, chocolate",2,26.89
17,17,59,Brazil Forca Cafe ROSANGELA MOURA ALVES Casa da Crianca,pulped natural,85.0,"dried peach, hazelnurt, milk chocolate",3,27.53
18,18,59,Brazil Forca Cafe VALQUIRIA GONÇALVES BASTOS Casa da Crianca,pulped natural,86.0,"peach, almond, milk chocolate",3,28.18
19,19,60,Brazil Santos 14/16 gc,natural,,"nuts, chocolate",359,22.69
20,20,59,Brazil Santos 17/18 ss fc Oberon Cerrado,natural,,"milk chocolate, hazelnut, citric acidity",3012,23.91
21,21,70,Colombia Cóndor Huila Especial,washed,85.5,"wild cherry, red currant, fruit drop",13,37.7
22,22,53,Colombia DECAF Colombia CO2,decaf,,,8,45.31
23,23,70,Colombia Excelso EP Huila RFA,washed,,"red currants, orange, caramel, chocolate",42,28.34
